index,hit_symbol,hit_id,input_id,input_symbol,functional_sim_score,functional_sim_rank,phenotype_sim_score,phenotype_sim_rank,protein_interaction,protein_interaction_rank
41,FANCA,HGNC:3582,"['HGNC:20748', 'HGNC:12829', 'HGNC:23845', 'HGNC:25539', 'HGNC:6764', 'HGNC:23168', 'HGNC:26144', 'HGNC:1100', 'HGNC:3587', 'HGNC:3585', 'HGNC:20473', 'HGNC:9820', 'HGNC:25568', 'HGNC:3588', 'HGNC:9817', 'HGNC:3586', 'HGNC:1101', 'HGNC:3583', 'HGNC:3584', 'HGNC:3436', 'HGNC:25009', 'HGNC:7532']","['FANCL', 'XRCC2', 'SLX4', 'RFWD3', 'MAD2L2', 'FANCM', 'PALB2', 'BRCA1', 'FANCF', 'FANCD2', 'BRIP1', 'RAD51C', 'FANCI', 'FANCG', 'RAD51', 'FANCE', 'BRCA2', 'FANCB', 'FANCC', 'ERCC4', 'UBE2T', 'MX1']",1.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, 38.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",21.0,"[207.0, 215.0, 153.0, 283.0, 139.0, 251.0, 329.0, 235.0, 165.0, 1.0, 179.0, 293.0, 337.0, 121.0, 189.0, 1.0, 385.0, 345.0, 1.0, 445.0, 95.0, nan]",14.0,18.0
42,FANCB,HGNC:3583,"['HGNC:23845', 'HGNC:1100', 'HGNC:1101', 'HGNC:3586', 'HGNC:9817', 'HGNC:6764', 'HGNC:3587', 'HGNC:20748', 'HGNC:26144', 'HGNC:25568', 'HGNC:3588', 'HGNC:25539', 'HGNC:12829', 'HGNC:20473', 'HGNC:3585', 'HGNC:3436', 'HGNC:9820', 'HGNC:25009', 'HGNC:3584', 'HGNC:3582', 'HGNC:23168']","['SLX4', 'BRCA1', 'BRCA2', 'FANCE', 'RAD51', 'MAD2L2', 'FANCF', 'FANCL', 'PALB2', 'FANCI', 'FANCG', 'RFWD3', 'XRCC2', 'BRIP1', 'FANCD2', 'ERCC4', 'RAD51C', 'UBE2T', 'FANCC', 'FANCA', 'FANCM']",2.0,"[nan, nan, nan, 3.0, nan, nan, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",21.0,"[269.0, 417.0, 413.0, 345.0, 233.0, 275.0, 231.0, 223.0, 393.0, 379.0, 245.0, 311.0, 265.0, 315.0, 345.0, 453.0, 323.0, 261.0, 345.0, 345.0, 303.0]",12.0,35.0
43,FANCC,HGNC:3584,"['HGNC:23845', 'HGNC:9817', 'HGNC:3587', 'HGNC:1101', 'HGNC:20748', 'HGNC:3436', 'HGNC:20473', 'HGNC:12829', 'HGNC:1100', 'HGNC:23168', 'HGNC:25568', 'HGNC:3586', 'HGNC:3585', 'HGNC:25009', 'HGNC:6764', 'HGNC:9820', 'HGNC:25539', 'HGNC:3588', 'HGNC:3582', 'HGNC:26144', 'HGNC:3583']","['SLX4', 'RAD51', 'FANCF', 'BRCA2', 'FANCL', 'ERCC4', 'BRIP1', 'XRCC2', 'BRCA1', 'FANCM', 'FANCI', 'FANCE', 'FANCD2', 'UBE2T', 'MAD2L2', 'RAD51C', 'RFWD3', 'FANCG', 'FANCA', 'PALB2', 'FANCB']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",21.0,"[153.0, 189.0, 165.0, 385.0, 207.0, 445.0, 179.0, 215.0, 235.0, 251.0, 337.0, 1.0, 1.0, 95.0, 139.0, 293.0, 283.0, 121.0, 1.0, 329.0, 345.0]",10.0,51.0
44,FANCD2,HGNC:3585,"['HGNC:3588', 'HGNC:3436', 'HGNC:23168', 'HGNC:25009', 'HGNC:3583', 'HGNC:25568', 'HGNC:20748', 'HGNC:9817', 'HGNC:20473', 'HGNC:26144', 'HGNC:3586', 'HGNC:1101', 'HGNC:9820', 'HGNC:23845', 'HGNC:3587', 'HGNC:3582', 'HGNC:3584', 'HGNC:1100', 'HGNC:12829', 'HGNC:25539', 'HGNC:6764']","['FANCG', 'ERCC4', 'FANCM', 'UBE2T', 'FANCB', 'FANCI', 'FANCL', 'RAD51', 'BRIP1', 'PALB2', 'FANCE', 'BRCA2', 'RAD51C', 'SLX4', 'FANCF', 'FANCA', 'FANCC', 'BRCA1', 'XRCC2', 'RFWD3', 'MAD2L2']",1.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 38.0, nan, nan, nan, nan, nan]",21.0,"[121.0, 445.0, 251.0, 95.0, 345.0, 337.0, 207.0, 189.0, 179.0, 329.0, 1.0, 385.0, 293.0, 153.0, 165.0, 1.0, 1.0, 235.0, 215.0, 283.0, 139.0]",13.0,23.0
45,FANCE,HGNC:3586,"['HGNC:12829', 'HGNC:20748', 'HGNC:25568', 'HGNC:26144', 'HGNC:3436', 'HGNC:25539', 'HGNC:1101', 'HGNC:1100', 'HGNC:9820', 'HGNC:23168', 'HGNC:3582', 'HGNC:25009', 'HGNC:20473', 'HGNC:9817', 'HGNC:3588', 'HGNC:3583', 'HGNC:6764', 'HGNC:3585', 'HGNC:23845', 'HGNC:3584', 'HGNC:3587']","['XRCC2', 'FANCL', 'FANCI', 'PALB2', 'ERCC4', 'RFWD3', 'BRCA2', 'BRCA1', 'RAD51C', 'FANCM', 'FANCA', 'UBE2T', 'BRIP1', 'RAD51', 'FANCG', 'FANCB', 'MAD2L2', 'FANCD2', 'SLX4', 'FANCC', 'FANCF']",2.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 3.0, nan, nan, nan, nan, 3.0]",21.0,"[215.0, 207.0, 337.0, 329.0, 445.0, 283.0, 385.0, 235.0, 293.0, 251.0, 1.0, 95.0, 179.0, 189.0, 121.0, 345.0, 139.0, 1.0, 153.0, 1.0, 165.0]",13.0,23.0
46,FANCF,HGNC:3587,"['HGNC:1100', 'HGNC:3584', 'HGNC:26144', 'HGNC:25568', 'HGNC:12829', 'HGNC:9820', 'HGNC:23845', 'HGNC:3582', 'HGNC:3588', 'HGNC:25539', 'HGNC:25009', 'HGNC:3585', 'HGNC:23168', 'HGNC:6764', 'HGNC:1101', 'HGNC:9817', 'HGNC:3586', 'HGNC:20748', 'HGNC:20473', 'HGNC:3583', 'HGNC:3436']","['BRCA1', 'FANCC', 'PALB2', 'FANCI', 'XRCC2', 'RAD51C', 'SLX4', 'FANCA', 'FANCG', 'RFWD3', 'UBE2T', 'FANCD2', 'FANCM', 'MAD2L2', 'BRCA2', 'RAD51', 'FANCE', 'FANCL', 'BRIP1', 'FANCB', 'ERCC4']",2.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 3.0, nan, nan, 1.0, nan]",21.0,"[399.0, 165.0, 225.0, 259.0, 27.0, 151.0, 53.0, 165.0, 23.0, 89.0, 19.0, 165.0, 51.0, 19.0, 327.0, 17.0, 165.0, 47.0, 47.0, 231.0, 423.0]",12.0,35.0
47,FANCG,HGNC:3588,"['HGNC:25009', 'HGNC:3436', 'HGNC:3587', 'HGNC:12829', 'HGNC:9817', 'HGNC:26144', 'HGNC:25539', 'HGNC:3585', 'HGNC:3582', 'HGNC:3584', 'HGNC:3586', 'HGNC:25568', 'HGNC:6764', 'HGNC:1101', 'HGNC:3583', 'HGNC:23168', 'HGNC:20473', 'HGNC:9820', 'HGNC:20748', 'HGNC:23845', 'HGNC:1100']","['UBE2T', 'ERCC4', 'FANCF', 'XRCC2', 'RAD51', 'PALB2', 'RFWD3', 'FANCD2', 'FANCA', 'FANCC', 'FANCE', 'FANCI', 'MAD2L2', 'BRCA2', 'FANCB', 'FANCM', 'BRIP1', 'RAD51C', 'FANCL', 'SLX4', 'BRCA1']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",21.0,"[41.0, 437.0, 23.0, 31.0, 25.0, 265.0, 119.0, 121.0, 121.0, 121.0, 121.0, 313.0, 15.0, 359.0, 245.0, 61.0, 77.0, 173.0, 77.0, 69.0, 383.0]",11.0,41.0
48,FANCI,HGNC:25568,"['HGNC:25009', 'HGNC:3584', 'HGNC:3582', 'HGNC:25539', 'HGNC:20473', 'HGNC:3585', 'HGNC:1101', 'HGNC:6764', 'HGNC:23168', 'HGNC:12829', 'HGNC:3588', 'HGNC:23845', 'HGNC:3586', 'HGNC:20748', 'HGNC:1100', 'HGNC:26144', 'HGNC:3587', 'HGNC:3436', 'HGNC:3583', 'HGNC:9817', 'HGNC:9820']","['UBE2T', 'FANCC', 'FANCA', 'RFWD3', 'BRIP1', 'FANCD2', 'BRCA2', 'MAD2L2', 'FANCM', 'XRCC2', 'FANCG', 'SLX4', 'FANCE', 'FANCL', 'BRCA1', 'PALB2', 'FANCF', 'ERCC4', 'FANCB', 'RAD51', 'RAD51C']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",21.0,"[249.0, 337.0, 337.0, 243.0, 279.0, 337.0, 401.0, 309.0, 319.0, 291.0, 313.0, 277.0, 337.0, 307.0, 419.0, 375.0, 259.0, 457.0, 379.0, 303.0, 365.0]",12.0,35.0
49,FANCL,HGNC:20748,"['HGNC:1101', 'HGNC:3587', 'HGNC:9820', 'HGNC:1100', 'HGNC:3436', 'HGNC:9817', 'HGNC:25539', 'HGNC:3585', 'HGNC:20473', 'HGNC:3584', 'HGNC:3586', 'HGNC:6764', 'HGNC:3588', 'HGNC:26144', 'HGNC:25009', 'HGNC:12829', 'HGNC:3583', 'HGNC:23845', 'HGNC:23168', 'HGNC:25568', 'HGNC:3582']","['BRCA2', 'FANCF', 'RAD51C', 'BRCA1', 'ERCC4', 'RAD51', 'RFWD3', 'FANCD2', 'BRIP1', 'FANCC', 'FANCE', 'MAD2L2', 'FANCG', 'PALB2', 'UBE2T', 'XRCC2', 'FANCB', 'SLX4', 'FANCM', 'FANCI', 'FANCA']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",21.0,"[373.0, 47.0, 199.0, 407.0, 421.0, 67.0, 163.0, 207.0, 109.0, 207.0, 207.0, 71.0, 77.0, 271.0, 65.0, 75.0, 223.0, 103.0, 113.0, 307.0, 207.0]",11.0,41.0
50,FANCM,HGNC:23168,"['HGNC:23845', 'HGNC:1100', 'HGNC:12829', 'HGNC:3436', 'HGNC:25568', 'HGNC:20748', 'HGNC:25009', 'HGNC:3587', 'HGNC:6764', 'HGNC:1101', 'HGNC:26144', 'HGNC:9817', 'HGNC:3588', 'HGNC:25539', 'HGNC:3583', 'HGNC:3584', 'HGNC:3586', 'HGNC:3585', 'HGNC:3582', 'HGNC:9820', 'HGNC:20473']","['SLX4', 'BRCA1', 'XRCC2', 'ERCC4', 'FANCI', 'FANCL', 'UBE2T', 'FANCF', 'MAD2L2', 'BRCA2', 'PALB2', 'RAD51', 'FANCG', 'RFWD3', 'FANCB', 'FANCC', 'FANCE', 'FANCD2', 'FANCA', 'RAD51C', 'BRIP1']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",21.0,"[129.0, 411.0, 13.0, 435.0, 319.0, 113.0, 77.0, 51.0, 77.0, 367.0, 317.0, 55.0, 61.0, 149.0, 303.0, 251.0, 251.0, 251.0, 251.0, 205.0, 133.0]",15.0,10.0
51,GGN,HGNC:18869,"['HGNC:3583', 'HGNC:3586', 'HGNC:3588', 'HGNC:3587']","['FANCB', 'FANCE', 'FANCG', 'FANCF']",4.0,"[85.0, 119.0, 82.0, 85.0]",,"[nan, nan, nan, nan]",,
52,GIN1,HGNC:25959,"['HGNC:3586', 'HGNC:3583', 'HGNC:3587']","['FANCE', 'FANCB', 'FANCF']",3.0,"[88.0, 74.0, 74.0]",,"[nan, nan, nan]",,
53,HERC2,HGNC:4868,['HGNC:20748'],['FANCL'],1.0,[73.0],,[nan],,
54,HUS1,HGNC:5309,"['HGNC:12829', 'HGNC:20473', 'HGNC:20748', 'HGNC:25568', 'HGNC:3583', 'HGNC:3584', 'HGNC:3585', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588', 'HGNC:9817', 'HGNC:9820']","['XRCC2', 'BRIP1', 'FANCL', 'FANCI', 'FANCB', 'FANCC', 'FANCD2', 'FANCE', 'FANCF', 'FANCG', 'RAD51', 'RAD51C']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",12.0,35.0
55,IFITM2,HGNC:5413,['HGNC:7532'],['MX1'],1.0,[81.0],,[nan],,
56,IFITM3,HGNC:5414,['HGNC:7532'],['MX1'],1.0,[72.0],,[nan],,
57,IFNL3,HGNC:18365,['HGNC:7532'],['MX1'],1.0,[112.0],,[nan],,
58,INIP,HGNC:24994,"['HGNC:3583', 'HGNC:3586', 'HGNC:3587']","['FANCB', 'FANCE', 'FANCF']",3.0,"[9.0, 19.0, 9.0]",,"[nan, nan, nan]",,
59,ISY1,HGNC:29201,"['HGNC:3586', 'HGNC:3587', 'HGNC:3583']","['FANCE', 'FANCF', 'FANCB']",3.0,"[95.0, 67.0, 67.0]",,"[nan, nan, nan]",,
60,LIG4,HGNC:6601,"['HGNC:6764', 'HGNC:1100', 'HGNC:20748']","['MAD2L2', 'BRCA1', 'FANCL']",,"[nan, nan, nan]",3.0,"[607.0, 594.0, 626.0]",,
61,MAD2L2,HGNC:6764,"['HGNC:3588', 'HGNC:25539', 'HGNC:23168', 'HGNC:3436', 'HGNC:3584', 'HGNC:9817', 'HGNC:20473', 'HGNC:23845', 'HGNC:1100', 'HGNC:20748', 'HGNC:25009', 'HGNC:25568', 'HGNC:1101', 'HGNC:3582', 'HGNC:3586', 'HGNC:26144', 'HGNC:3585', 'HGNC:12829', 'HGNC:9820', 'HGNC:3583', 'HGNC:3587']","['FANCG', 'RFWD3', 'FANCM', 'ERCC4', 'FANCC', 'RAD51', 'BRIP1', 'SLX4', 'BRCA1', 'FANCL', 'UBE2T', 'FANCI', 'BRCA2', 'FANCA', 'FANCE', 'PALB2', 'FANCD2', 'XRCC2', 'RAD51C', 'FANCB', 'FANCF']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",21.0,"[15.0, 137.0, 77.0, 431.0, 139.0, 31.0, 71.0, 85.0, 395.0, 71.0, 39.0, 309.0, 363.0, 139.0, 139.0, 273.0, 139.0, 57.0, 197.0, 275.0, 19.0]",,
62,MAGEC2,HGNC:13574,['HGNC:25568'],['FANCI'],1.0,[130.0],,[nan],,
63,MMS22L,HGNC:21475,"['HGNC:3587', 'HGNC:3583']","['FANCF', 'FANCB']",2.0,"[100.0, 100.0]",,"[nan, nan]",,
64,MUS81,HGNC:29814,"['HGNC:12829', 'HGNC:20748', 'HGNC:23168', 'HGNC:23845', 'HGNC:25568', 'HGNC:26144', 'HGNC:3436', 'HGNC:3583', 'HGNC:3584', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588', 'HGNC:9820']","['XRCC2', 'FANCL', 'FANCM', 'SLX4', 'FANCI', 'PALB2', 'ERCC4', 'FANCB', 'FANCC', 'FANCE', 'FANCF', 'FANCG', 'RAD51C']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",13.0,23.0
65,MX2,HGNC:7533,['HGNC:7532'],['MX1'],1.0,[105.0],,[nan],,
66,NIPBL,HGNC:28862,['HGNC:25568'],['FANCI'],,[nan],1.0,[560.0],,
67,NSD2,HGNC:12766,['HGNC:25568'],['FANCI'],,[nan],1.0,[565.0],,
68,NSMCE3,HGNC:7677,['HGNC:25568'],['FANCI'],1.0,[51.0],,[nan],,
69,NSMCE4A,HGNC:25935,"['HGNC:3586', 'HGNC:3583', 'HGNC:3587']","['FANCE', 'FANCB', 'FANCF']",3.0,"[88.0, 54.0, 54.0]",,"[nan, nan, nan]",,
70,NSUN2,HGNC:25994,"['HGNC:26144', 'HGNC:3588', 'HGNC:23845', 'HGNC:6764', 'HGNC:1100']","['PALB2', 'FANCG', 'SLX4', 'MAD2L2', 'BRCA1']",,"[nan, nan, nan, nan, nan]",5.0,"[618.0, 620.0, 602.0, 592.0, 523.0]",,
71,NYNRIN,HGNC:20165,"['HGNC:3586', 'HGNC:3587', 'HGNC:3583']","['FANCE', 'FANCF', 'FANCB']",3.0,"[88.0, 74.0, 74.0]",,"[nan, nan, nan]",,
72,OAS1,HGNC:8086,['HGNC:7532'],['MX1'],1.0,[60.0],,[nan],,
73,OAS3,HGNC:8088,['HGNC:7532'],['MX1'],1.0,[125.0],,[nan],,
74,OASL,HGNC:8090,['HGNC:7532'],['MX1'],1.0,[40.0],,[nan],,
75,PALB2,HGNC:26144,"['HGNC:3583', 'HGNC:20473', 'HGNC:1101', 'HGNC:3588', 'HGNC:1100', 'HGNC:23845', 'HGNC:20748', 'HGNC:3586', 'HGNC:3582', 'HGNC:3585', 'HGNC:25009', 'HGNC:9817', 'HGNC:9820', 'HGNC:3584', 'HGNC:12829', 'HGNC:6764', 'HGNC:25539', 'HGNC:3436', 'HGNC:25568', 'HGNC:3587', 'HGNC:23168']","['FANCB', 'BRIP1', 'BRCA2', 'FANCG', 'BRCA1', 'SLX4', 'FANCL', 'FANCE', 'FANCA', 'FANCD2', 'UBE2T', 'RAD51', 'RAD51C', 'FANCC', 'XRCC2', 'MAD2L2', 'RFWD3', 'ERCC4', 'FANCI', 'FANCF', 'FANCM']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",21.0,"[393.0, 107.0, 175.0, 265.0, 403.0, 247.0, 271.0, 329.0, 329.0, 329.0, 201.0, 203.0, 263.0, 329.0, 281.0, 273.0, 353.0, 455.0, 375.0, 225.0, 317.0]",13.0,23.0
76,PAXX,HGNC:27849,"['HGNC:3583', 'HGNC:3587', 'HGNC:3586']","['FANCB', 'FANCF', 'FANCE']",3.0,"[36.0, 36.0, 48.0]",,"[nan, nan, nan]",,
77,PCNA,HGNC:8729,"['HGNC:1101', 'HGNC:12829', 'HGNC:20473', 'HGNC:20748', 'HGNC:23168', 'HGNC:23845', 'HGNC:25009', 'HGNC:26144', 'HGNC:3582', 'HGNC:3586', 'HGNC:6764', 'HGNC:9817']","['BRCA2', 'XRCC2', 'BRIP1', 'FANCL', 'FANCM', 'SLX4', 'UBE2T', 'PALB2', 'FANCA', 'FANCE', 'MAD2L2', 'RAD51']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",12.0,35.0
78,PGBD3,HGNC:19400,['HGNC:3436'],['ERCC4'],,[nan],1.0,[463.0],,
79,POLN,HGNC:18870,"['HGNC:1101', 'HGNC:20473', 'HGNC:20748', 'HGNC:23845', 'HGNC:25568', 'HGNC:26144', 'HGNC:3582', 'HGNC:3583', 'HGNC:3584', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588', 'HGNC:9817']","['BRCA2', 'BRIP1', 'FANCL', 'SLX4', 'FANCI', 'PALB2', 'FANCA', 'FANCB', 'FANCC', 'FANCE', 'FANCF', 'FANCG', 'RAD51']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",13.0,23.0
80,PWWP3A,HGNC:29641,"['HGNC:3587', 'HGNC:3586', 'HGNC:3583']","['FANCF', 'FANCE', 'FANCB']",3.0,"[32.0, 46.0, 32.0]",,"[nan, nan, nan]",,
81,RAD1,HGNC:9806,"['HGNC:12829', 'HGNC:20473', 'HGNC:20748', 'HGNC:23168', 'HGNC:25009', 'HGNC:25568', 'HGNC:3583', 'HGNC:3584', 'HGNC:3585', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588', 'HGNC:9820']","['XRCC2', 'BRIP1', 'FANCL', 'FANCM', 'UBE2T', 'FANCI', 'FANCB', 'FANCC', 'FANCD2', 'FANCE', 'FANCF', 'FANCG', 'RAD51C']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",13.0,23.0
82,RAD17,HGNC:9807,"['HGNC:1101', 'HGNC:12829', 'HGNC:20748', 'HGNC:23168', 'HGNC:25009', 'HGNC:25568', 'HGNC:3436', 'HGNC:3582', 'HGNC:3583', 'HGNC:3584', 'HGNC:3585', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588', 'HGNC:9820']","['BRCA2', 'XRCC2', 'FANCL', 'FANCM', 'UBE2T', 'FANCI', 'ERCC4', 'FANCA', 'FANCB', 'FANCC', 'FANCD2', 'FANCE', 'FANCF', 'FANCG', 'RAD51C']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",15.0,10.0
83,RAD21,HGNC:9811,['HGNC:25568'],['FANCI'],,[nan],1.0,[617.0],,
84,RAD51,HGNC:9817,"['HGNC:6764', 'HGNC:25009', 'HGNC:20473', 'HGNC:3436', 'HGNC:23168', 'HGNC:3588', 'HGNC:3587', 'HGNC:12829', 'HGNC:3582', 'HGNC:23845', 'HGNC:1101', 'HGNC:3583', 'HGNC:3585', 'HGNC:25568', 'HGNC:3586', 'HGNC:25539', 'HGNC:20748', 'HGNC:9820', 'HGNC:1100', 'HGNC:3584', 'HGNC:26144']","['MAD2L2', 'UBE2T', 'BRIP1', 'ERCC4', 'FANCM', 'FANCG', 'FANCF', 'XRCC2', 'FANCA', 'SLX4', 'BRCA2', 'FANCB', 'FANCD2', 'FANCI', 'FANCE', 'RFWD3', 'FANCL', 'RAD51C', 'BRCA1', 'FANCC', 'PALB2']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",21.0,"[31.0, 31.0, 45.0, 433.0, 55.0, 25.0, 17.0, 29.0, 189.0, 63.0, 325.0, 233.0, 189.0, 303.0, 189.0, 115.0, 67.0, 117.0, 397.0, 189.0, 203.0]",,
85,RAD51B,HGNC:9822,['HGNC:9820'],['RAD51C'],1.0,[34.0],,[nan],,
86,RAD51C,HGNC:9820,"['HGNC:3587', 'HGNC:9817', 'HGNC:3588', 'HGNC:3582', 'HGNC:12829', 'HGNC:25568', 'HGNC:3436', 'HGNC:6764', 'HGNC:3583', 'HGNC:20473', 'HGNC:1101', 'HGNC:25539', 'HGNC:23845', 'HGNC:3586', 'HGNC:25009', 'HGNC:23168', 'HGNC:3584', 'HGNC:26144', 'HGNC:3585', 'HGNC:20748', 'HGNC:1100']","['FANCF', 'RAD51', 'FANCG', 'FANCA', 'XRCC2', 'FANCI', 'ERCC4', 'MAD2L2', 'FANCB', 'BRIP1', 'BRCA2', 'RFWD3', 'SLX4', 'FANCE', 'UBE2T', 'FANCM', 'FANCC', 'PALB2', 'FANCD2', 'FANCL', 'BRCA1']",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",21.0,"[151.0, 117.0, 173.0, 293.0, 177.0, 365.0, 443.0, 197.0, 323.0, 105.0, 301.0, 227.0, 161.0, 293.0, 147.0, 205.0, 293.0, 263.0, 293.0, 199.0, 369.0]",16.0,7.0
87,RAD51D,HGNC:9823,['HGNC:9820'],['RAD51C'],1.0,[94.0],,[nan],,
88,RAD54B,HGNC:17228,['HGNC:23168'],['FANCM'],1.0,[128.0],,[nan],,
