hit_symbol,hit_id,input_symbol,input_id,is_input_gene,num_modules,total_hits,functional_sim_count,phenotype_sim_count,protein_interaction_count,functional_sim_score,functional_sim_rank,phenotype_sim_score,phenotype_sim_rank,interaction_count_rank
PCNA,HGNC:8729,"['BRCA2', 'XRCC2', 'BRIP1', 'FANCL', 'FANCM', 'SLX4', 'UBE2T', 'PALB2', 'ERCC4', 'FANCA', 'FANCD2', 'FANCE', 'MAD2L2', 'RAD51', 'RAD51C']","['HGNC:1101', 'HGNC:12829', 'HGNC:20473', 'HGNC:20748', 'HGNC:23168', 'HGNC:23845', 'HGNC:25009', 'HGNC:26144', 'HGNC:3436', 'HGNC:3582', 'HGNC:3585', 'HGNC:3586', 'HGNC:6764', 'HGNC:9817', 'HGNC:9820']",N,1,15.0,,,15.0,[],[],[],[],21.0
RPA2,HGNC:10290,"['XRCC2', 'BRIP1', 'FANCL', 'FANCM', 'UBE2T', 'RFWD3', 'PALB2', 'FANCA', 'FANCB', 'FANCC', 'FANCE', 'FANCF', 'FANCG', 'MAD2L2', 'RAD51C']","['HGNC:12829', 'HGNC:20473', 'HGNC:20748', 'HGNC:23168', 'HGNC:25009', 'HGNC:25539', 'HGNC:26144', 'HGNC:3582', 'HGNC:3583', 'HGNC:3584', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588', 'HGNC:6764', 'HGNC:9820']",N,1,15.0,,,15.0,[],[],[],[],21.0
TOPBP1,HGNC:17008,"['XRCC2', 'BRIP1', 'FANCL', 'FANCM', 'SLX4', 'UBE2T', 'ERCC4', 'FANCA', 'FANCB', 'FANCC', 'FANCD2', 'FANCE', 'FANCF', 'FANCG', 'RAD51C']","['HGNC:12829', 'HGNC:20473', 'HGNC:20748', 'HGNC:23168', 'HGNC:23845', 'HGNC:25009', 'HGNC:3436', 'HGNC:3582', 'HGNC:3583', 'HGNC:3584', 'HGNC:3585', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588', 'HGNC:9820']",N,1,15.0,,,15.0,[],[],[],[],21.0
ERCC4,HGNC:3436,"['BRIP1', 'FANCL', 'FANCM', 'SLX4', 'UBE2T', 'FANCI', 'FANCA', 'FANCB', 'FANCC', 'FANCD2', 'FANCE', 'FANCF', 'FANCG', 'RAD51C']","['HGNC:20473', 'HGNC:20748', 'HGNC:23168', 'HGNC:23845', 'HGNC:25009', 'HGNC:25568', 'HGNC:3582', 'HGNC:3583', 'HGNC:3584', 'HGNC:3585', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588', 'HGNC:9820']",Y,1,14.0,,,14.0,[],[],[],[],31.0
WDR48,HGNC:30914,"['BRCA1', 'FANCL', 'FANCM', 'SLX4', 'FANCI', 'ERCC4', 'FANCA', 'FANCB', 'FANCC', 'FANCD2', 'FANCE', 'FANCF', 'FANCG', 'RAD51']","['HGNC:1100', 'HGNC:20748', 'HGNC:23168', 'HGNC:23845', 'HGNC:25568', 'HGNC:3436', 'HGNC:3582', 'HGNC:3583', 'HGNC:3584', 'HGNC:3585', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588', 'HGNC:9817']",N,1,14.0,,,14.0,[],[],[],[],31.0
CHEK1,HGNC:1925,"['BRIP1', 'FANCL', 'FANCM', 'UBE2T', 'FANCI', 'FANCA', 'FANCB', 'FANCC', 'FANCD2', 'FANCE', 'FANCF', 'FANCG', 'RAD51']","['HGNC:20473', 'HGNC:20748', 'HGNC:23168', 'HGNC:25009', 'HGNC:25568', 'HGNC:3582', 'HGNC:3583', 'HGNC:3584', 'HGNC:3585', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588', 'HGNC:9817']",N,1,13.0,,,13.0,[],[],[],[],33.0
FAN1,HGNC:29170,"['FANCL', 'FANCM', 'SLX4', 'UBE2T', 'FANCI', 'ERCC4', 'FANCA', 'FANCB', 'FANCC', 'FANCD2', 'FANCE', 'FANCF', 'FANCG']","['HGNC:20748', 'HGNC:23168', 'HGNC:23845', 'HGNC:25009', 'HGNC:25568', 'HGNC:3436', 'HGNC:3582', 'HGNC:3583', 'HGNC:3584', 'HGNC:3585', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588']",N,1,13.0,,,13.0,[],[],[],[],33.0
RMI1,HGNC:25764,"['XRCC2', 'BRIP1', 'FANCL', 'FANCM', 'SLX4', 'UBE2T', 'PALB2', 'FANCB', 'FANCC', 'FANCE', 'FANCF', 'FANCG', 'RAD51C']","['HGNC:12829', 'HGNC:20473', 'HGNC:20748', 'HGNC:23168', 'HGNC:23845', 'HGNC:25009', 'HGNC:26144', 'HGNC:3583', 'HGNC:3584', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588', 'HGNC:9820']",N,1,13.0,,,13.0,[],[],[],[],33.0
RPS27A,HGNC:10417,"['XRCC2', 'BRIP1', 'FANCL', 'FANCM', 'SLX4', 'UBE2T', 'PALB2', 'FANCB', 'FANCC', 'FANCE', 'FANCF', 'FANCG', 'RAD51C']","['HGNC:12829', 'HGNC:20473', 'HGNC:20748', 'HGNC:23168', 'HGNC:23845', 'HGNC:25009', 'HGNC:26144', 'HGNC:3583', 'HGNC:3584', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588', 'HGNC:9820']",N,1,13.0,,,13.0,[],[],[],[],33.0
UBA52,HGNC:12458,"['XRCC2', 'BRIP1', 'FANCL', 'FANCM', 'SLX4', 'UBE2T', 'PALB2', 'FANCB', 'FANCC', 'FANCE', 'FANCF', 'FANCG', 'RAD51C']","['HGNC:12829', 'HGNC:20473', 'HGNC:20748', 'HGNC:23168', 'HGNC:23845', 'HGNC:25009', 'HGNC:26144', 'HGNC:3583', 'HGNC:3584', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588', 'HGNC:9820']",N,1,13.0,,,13.0,[],[],[],[],33.0
UBC,HGNC:12468,"['XRCC2', 'BRIP1', 'FANCL', 'FANCM', 'SLX4', 'UBE2T', 'PALB2', 'FANCB', 'FANCC', 'FANCE', 'FANCF', 'FANCG', 'RAD51C']","['HGNC:12829', 'HGNC:20473', 'HGNC:20748', 'HGNC:23168', 'HGNC:23845', 'HGNC:25009', 'HGNC:26144', 'HGNC:3583', 'HGNC:3584', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588', 'HGNC:9820']",N,1,13.0,,,13.0,[],[],[],[],33.0
ATM,HGNC:795,"['BRCA1', 'BRCA2', 'XRCC2', 'BRIP1', 'FANCM', 'SLX4', 'FANCI', 'PALB2', 'ERCC4', 'FANCD2', 'RAD51', 'RAD51C']","['HGNC:1100', 'HGNC:1101', 'HGNC:12829', 'HGNC:20473', 'HGNC:23168', 'HGNC:23845', 'HGNC:25568', 'HGNC:26144', 'HGNC:3436', 'HGNC:3585', 'HGNC:9817', 'HGNC:9820']",N,1,12.0,,,12.0,[],[],[],[],41.0
DCLRE1B,HGNC:17641,"['FANCL', 'FANCM', 'SLX4', 'UBE2T', 'ERCC4', 'FANCA', 'FANCB', 'FANCC', 'FANCD2', 'FANCE', 'FANCF', 'FANCG']","['HGNC:20748', 'HGNC:23168', 'HGNC:23845', 'HGNC:25009', 'HGNC:3436', 'HGNC:3582', 'HGNC:3583', 'HGNC:3584', 'HGNC:3585', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588']",N,1,12.0,,,12.0,[],[],[],[],41.0
HUS1,HGNC:5309,"['XRCC2', 'BRIP1', 'FANCL', 'UBE2T', 'FANCA', 'FANCB', 'FANCC', 'FANCE', 'FANCF', 'FANCG', 'RAD51', 'RAD51C']","['HGNC:12829', 'HGNC:20473', 'HGNC:20748', 'HGNC:25009', 'HGNC:3582', 'HGNC:3583', 'HGNC:3584', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588', 'HGNC:9817', 'HGNC:9820']",N,1,12.0,,,12.0,[],[],[],[],41.0
POLN,HGNC:18870,"['BRIP1', 'FANCL', 'FANCM', 'SLX4', 'PALB2', 'FANCA', 'FANCB', 'FANCC', 'FANCE', 'FANCF', 'FANCG', 'RAD51']","['HGNC:20473', 'HGNC:20748', 'HGNC:23168', 'HGNC:23845', 'HGNC:26144', 'HGNC:3582', 'HGNC:3583', 'HGNC:3584', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588', 'HGNC:9817']",N,1,12.0,,,12.0,[],[],[],[],41.0
BRIP1,HGNC:20473,"['BRCA2', 'XRCC2', 'FANCM', 'SLX4', 'FANCI', 'PALB2', 'ERCC4', 'FANCA', 'FANCB', 'FANCD2', 'RAD51C']","['HGNC:1101', 'HGNC:12829', 'HGNC:23168', 'HGNC:23845', 'HGNC:25568', 'HGNC:26144', 'HGNC:3436', 'HGNC:3582', 'HGNC:3583', 'HGNC:3585', 'HGNC:9820']",Y,1,11.0,,,11.0,[],[],[],[],46.0
DNA2,HGNC:2939,"['BRCA1', 'BRCA2', 'XRCC2', 'BRIP1', 'FANCM', 'SLX4', 'PALB2', 'ERCC4', 'FANCD2', 'RAD51', 'RAD51C']","['HGNC:1100', 'HGNC:1101', 'HGNC:12829', 'HGNC:20473', 'HGNC:23168', 'HGNC:23845', 'HGNC:26144', 'HGNC:3436', 'HGNC:3585', 'HGNC:9817', 'HGNC:9820']",N,1,11.0,,,11.0,[],[],[],[],46.0
CENPS-CORT,HGNC:38843,"['FANCL', 'FANCM', 'SLX4', 'UBE2T', 'FANCA', 'FANCB', 'FANCC', 'FANCE', 'FANCF', 'FANCG']","['HGNC:20748', 'HGNC:23168', 'HGNC:23845', 'HGNC:25009', 'HGNC:3582', 'HGNC:3583', 'HGNC:3584', 'HGNC:3586', 'HGNC:3587', 'HGNC:3588']",N,1,10.0,,,10.0,[],[],[],[],50.0
EXO1,HGNC:3511,"['XRCC2', 'BRIP1', 'FANCM', 'SLX4', 'UBE2T', 'FANCI', 'PALB2', 'ERCC4', 'FANCD2', 'RAD51C']","['HGNC:12829', 'HGNC:20473', 'HGNC:23168', 'HGNC:23845', 'HGNC:25009', 'HGNC:25568', 'HGNC:26144', 'HGNC:3436', 'HGNC:3585', 'HGNC:9820']",N,1,10.0,,,10.0,[],[],[],[],50.0
WRN,HGNC:12791,"['BRCA2', 'XRCC2', 'BRIP1', 'FANCM', 'SLX4', 'PALB2', 'ERCC4', 'FANCD2', 'RAD51', 'RAD51C']","['HGNC:1101', 'HGNC:12829', 'HGNC:20473', 'HGNC:23168', 'HGNC:23845', 'HGNC:26144', 'HGNC:3436', 'HGNC:3585', 'HGNC:9817', 'HGNC:9820']",N,1,10.0,,,10.0,[],[],[],[],50.0
SPTA1,HGNC:11272,"['XRCC2', 'BRIP1', 'ERCC4', 'FANCA', 'FANCC', 'FANCD2', 'FANCF', 'FANCG', 'RAD51']","['HGNC:12829', 'HGNC:20473', 'HGNC:3436', 'HGNC:3582', 'HGNC:3584', 'HGNC:3585', 'HGNC:3587', 'HGNC:3588', 'HGNC:9817']",N,1,9.0,,,9.0,[],[],[],[],53.0
DACT1,HGNC:17748,"['FANCG', 'RAD51', 'UBE2T', 'RAD51C', 'FANCM', 'FANCF']","['HGNC:3588', 'HGNC:9817', 'HGNC:25009', 'HGNC:9820', 'HGNC:23168', 'HGNC:3587']",N,1,6.0,,6.0,,[],[],"[0.35390946502057613, 0.358, 0.36065573770491804, 0.3430232558139535, 0.3515151515151515, 0.35684647302904565]","[47.0, 44.0, 43.0, 54.0, 48.0, 45.0]",
RAD51,HGNC:9817,"['PALB2', 'FANCF', 'FANCG', 'UBE2T', 'RAD51C', 'FANCM']","['HGNC:26144', 'HGNC:3587', 'HGNC:3588', 'HGNC:25009', 'HGNC:9820', 'HGNC:23168']",Y,1,6.0,,6.0,,[],[],"[0.7959183673469388, 0.917989417989418, 0.9083769633507853, 0.8943298969072165, 0.8498789346246973, 0.8829516539440203]","[41.0, 11.0, 15.0, 17.0, 31.0, 23.0]",
DHCR7,HGNC:2860,"['UBE2T', 'RAD51', 'RAD51C', 'FANCF', 'FANCG']","['HGNC:25009', 'HGNC:9817', 'HGNC:9820', 'HGNC:3587', 'HGNC:3588']",N,1,5.0,,5.0,,[],[],"[0.353968253968254, 0.34782608695652173, 0.3465648854961832, 0.34235668789808915, 0.3401898734177215]","[46.0, 50.0, 51.0, 55.0, 59.0]",
GGN,HGNC:18869,"['FANCE', 'FANCF', 'FANCG', 'FANCB']","['HGNC:3586', 'HGNC:3587', 'HGNC:3588', 'HGNC:3583']",N,1,4.0,4.0,,,"[0.5121951219512195, 0.5609756097560976, 0.5652173913043478, 0.5609756097560976]","[112.0, 81.0, 78.0, 81.0]",[],[],
ASTE1,HGNC:25021,"['FANCE', 'FANCF', 'FANCB']","['HGNC:3586', 'HGNC:3587', 'HGNC:3583']",N,1,3.0,3.0,,,"[0.7241379310344828, 0.7931034482758621, 0.7931034482758621]","[28.0, 13.0, 13.0]",[],[],
BOD1L1,HGNC:31792,"['FANCF', 'FANCE', 'FANCB']","['HGNC:3587', 'HGNC:3586', 'HGNC:3583']",N,1,3.0,3.0,,,"[0.5384615384615384, 0.5675675675675675, 0.5384615384615384]","[91.0, 75.0, 91.0]",[],[],
CINP,HGNC:23789,"['FANCF', 'FANCE', 'FANCB']","['HGNC:3587', 'HGNC:3586', 'HGNC:3583']",N,1,3.0,3.0,,,"[0.6052631578947368, 0.5526315789473685, 0.6052631578947368]","[56.0, 87.0, 56.0]",[],[],
EEPD1,HGNC:22223,"['FANCF', 'FANCB', 'FANCE']","['HGNC:3587', 'HGNC:3583', 'HGNC:3586']",N,1,3.0,3.0,,,"[0.7857142857142857, 0.7857142857142857, 0.7777777777777778]","[15.0, 15.0, 19.0]",[],[],
EID3,HGNC:32961,"['FANCE', 'FANCB', 'FANCF']","['HGNC:3586', 'HGNC:3583', 'HGNC:3587']",N,1,3.0,3.0,,,"[0.6, 0.68, 0.68]","[59.0, 40.0, 40.0]",[],[],
FAAP24,HGNC:28467,"['FANCE', 'FANCF', 'FANCB']","['HGNC:3586', 'HGNC:3587', 'HGNC:3583']",N,1,3.0,3.0,,,"[0.7586206896551724, 0.8275862068965517, 0.8275862068965517]","[21.0, 11.0, 11.0]",[],[],
GIN1,HGNC:25959,"['FANCB', 'FANCF', 'FANCE']","['HGNC:3583', 'HGNC:3587', 'HGNC:3586']",N,1,3.0,3.0,,,"[0.5714285714285714, 0.5714285714285714, 0.5555555555555556]","[71.0, 71.0, 84.0]",[],[],
INIP,HGNC:24994,"['FANCE', 'FANCF', 'FANCB']","['HGNC:3586', 'HGNC:3587', 'HGNC:3583']",N,1,3.0,3.0,,,"[0.7777777777777778, 0.8518518518518519, 0.8518518518518519]","[19.0, 9.0, 9.0]",[],[],
ISY1,HGNC:29201,"['FANCF', 'FANCE', 'FANCB']","['HGNC:3587', 'HGNC:3586', 'HGNC:3583']",N,1,3.0,3.0,,,"[0.5897435897435898, 0.5384615384615384, 0.5897435897435898]","[65.0, 91.0, 65.0]",[],[],
NSMCE4A,HGNC:25935,"['FANCE', 'FANCF', 'FANCB']","['HGNC:3586', 'HGNC:3587', 'HGNC:3583']",N,1,3.0,3.0,,,"[0.5555555555555556, 0.6111111111111112, 0.6111111111111112]","[84.0, 53.0, 53.0]",[],[],
NYNRIN,HGNC:20165,"['FANCB', 'FANCE', 'FANCF']","['HGNC:3583', 'HGNC:3586', 'HGNC:3587']",N,1,3.0,3.0,,,"[0.5714285714285714, 0.5555555555555556, 0.5714285714285714]","[71.0, 84.0, 71.0]",[],[],
PAXX,HGNC:27849,"['FANCB', 'FANCF', 'FANCE']","['HGNC:3583', 'HGNC:3587', 'HGNC:3586']",N,1,3.0,3.0,,,"[0.696969696969697, 0.696969696969697, 0.6363636363636364]","[36.0, 36.0, 47.0]",[],[],
PWWP3A,HGNC:29641,"['FANCB', 'FANCF', 'FANCE']","['HGNC:3583', 'HGNC:3587', 'HGNC:3586']",N,1,3.0,3.0,,,"[0.71875, 0.71875, 0.65625]","[32.0, 32.0, 45.0]",[],[],
SWI5,HGNC:31412,"['FANCE', 'FANCB', 'FANCF']","['HGNC:3586', 'HGNC:3583', 'HGNC:3587']",N,1,3.0,3.0,,,"[0.6, 0.6571428571428571, 0.6571428571428571]","[59.0, 43.0, 43.0]",[],[],
TRIP13,HGNC:12307,"['RAD51', 'FANCF', 'FANCG']","['HGNC:9817', 'HGNC:3587', 'HGNC:3588']",N,1,3.0,,3.0,,[],[],"[0.3489795918367347, 0.34460887949260044, 0.3445378151260504]","[49.0, 52.0, 53.0]",
ZSWIM7,HGNC:26993,"['FANCB', 'FANCE', 'FANCF']","['HGNC:3583', 'HGNC:3586', 'HGNC:3587']",N,1,3.0,3.0,,,"[0.6216216216216216, 0.5675675675675675, 0.6216216216216216]","[51.0, 75.0, 51.0]",[],[],
AP5S1,HGNC:15875,"['FANCF', 'FANCB']","['HGNC:3587', 'HGNC:3583']",N,1,2.0,2.0,,,"[0.5227272727272727, 0.5227272727272727]","[101.0, 101.0]",[],[],
AP5Z1,HGNC:22197,"['FANCB', 'FANCF']","['HGNC:3583', 'HGNC:3587']",N,1,2.0,2.0,,,"[0.5227272727272727, 0.5227272727272727]","[101.0, 101.0]",[],[],
MMS22L,HGNC:21475,"['FANCF', 'FANCB']","['HGNC:3587', 'HGNC:3583']",N,1,2.0,2.0,,,"[0.5348837209302325, 0.5348837209302325]","[96.0, 96.0]",[],[],
RBM23,HGNC:20155,"['FANCB', 'FANCF']","['HGNC:3583', 'HGNC:3587']",N,1,2.0,2.0,,,"[0.5172413793103449, 0.5172413793103449]","[107.0, 107.0]",[],[],
REXO1L1P,HGNC:24660,"['FANCB', 'FANCF']","['HGNC:3583', 'HGNC:3587']",N,1,2.0,2.0,,,"[0.5357142857142857, 0.5357142857142857]","[94.0, 94.0]",[],[],
SWSAP1,HGNC:26638,"['FANCB', 'FANCF']","['HGNC:3583', 'HGNC:3587']",N,1,2.0,2.0,,,"[0.5227272727272727, 0.5227272727272727]","[101.0, 101.0]",[],[],
TDP1,HGNC:18884,"['FANCF', 'FANCB']","['HGNC:3587', 'HGNC:3583']",N,1,2.0,2.0,,,"[0.5348837209302325, 0.5348837209302325]","[96.0, 96.0]",[],[],
UVSSA,HGNC:29304,"['FANCF', 'FANCB']","['HGNC:3587', 'HGNC:3583']",N,1,2.0,2.0,,,"[0.5111111111111111, 0.5111111111111111]","[114.0, 114.0]",[],[],
BUB1B,HGNC:1149,['RAD51'],['HGNC:9817'],N,1,1.0,,1.0,,[],[],[0.34022556390977443],[58.0],
CDK2AP1,HGNC:14002,['FANCI'],['HGNC:25568'],N,1,1.0,1.0,,,[0.5168539325842697],[111.0],[],[],
CENPX,HGNC:11422,['FANCM'],['HGNC:23168'],N,1,1.0,1.0,,,[0.5888888888888889],[67.0],[],[],
DCUN1D1,HGNC:18184,['FANCI'],['HGNC:25568'],N,1,1.0,1.0,,,[0.5882352941176471],[68.0],[],[],
HERC2,HGNC:4868,['FANCL'],['HGNC:20748'],N,1,1.0,1.0,,,[0.5824175824175825],[70.0],[],[],
MAGEC2,HGNC:13574,['FANCI'],['HGNC:25568'],N,1,1.0,1.0,,,[0.5057471264367817],[122.0],[],[],
NSMCE3,HGNC:7677,['FANCI'],['HGNC:25568'],N,1,1.0,1.0,,,[0.6222222222222222],[50.0],[],[],
RAD51B,HGNC:9822,['RAD51C'],['HGNC:9820'],N,1,1.0,1.0,,,[0.7115384615384616],[34.0],[],[],
RAD51D,HGNC:9823,['RAD51C'],['HGNC:9820'],N,1,1.0,1.0,,,[0.54375],[90.0],[],[],
RAD54B,HGNC:17228,['FANCM'],['HGNC:23168'],N,1,1.0,1.0,,,[0.5066666666666667],[120.0],[],[],
RBM8A,HGNC:9905,['FANCG'],['HGNC:3588'],N,1,1.0,,1.0,,[],[],[0.3405088062622309],[57.0],
RECQL5,HGNC:9950,['RAD51'],['HGNC:9817'],N,1,1.0,1.0,,,[0.5080645161290323],[118.0],[],[],
RNF180,HGNC:27752,['FANCI'],['HGNC:25568'],N,1,1.0,1.0,,,[0.5675675675675675],[75.0],[],[],
RPS19,HGNC:10402,['UBE2T'],['HGNC:25009'],N,1,1.0,,1.0,,[],[],[0.34065934065934067],[56.0],
RTEL1,HGNC:15888,['RAD51'],['HGNC:9817'],N,1,1.0,1.0,,,[0.5102880658436214],[116.0],[],[],
SHPRH,HGNC:19336,['UBE2T'],['HGNC:25009'],N,1,1.0,1.0,,,[0.5588235294117647],[83.0],[],[],
SLX1A,HGNC:20922,['SLX4'],['HGNC:23845'],N,1,1.0,1.0,,,[0.782312925170068],[18.0],[],[],
SPRTN,HGNC:25356,['FANCI'],['HGNC:25568'],N,1,1.0,1.0,,,[0.6593406593406593],[42.0],[],[],
STK31,HGNC:11407,['UBE2T'],['HGNC:25009'],N,1,1.0,1.0,,,[0.5063291139240507],[121.0],[],[],
UBA1,HGNC:12469,['UBE2T'],['HGNC:25009'],N,1,1.0,1.0,,,[0.5466666666666666],[89.0],[],[],
UBE2D4,HGNC:21647,['UBE2T'],['HGNC:25009'],N,1,1.0,1.0,,,[0.7101449275362319],[35.0],[],[],
UBE2E3,HGNC:12479,['UBE2T'],['HGNC:25009'],N,1,1.0,1.0,,,[0.6027397260273972],[58.0],[],[],
UBE2F,HGNC:12480,['UBE2T'],['HGNC:25009'],N,1,1.0,1.0,,,[0.5342465753424658],[100.0],[],[],
UBE2G1,HGNC:12482,['UBE2T'],['HGNC:25009'],N,1,1.0,1.0,,,[0.6233766233766234],[49.0],[],[],
UBE2H,HGNC:12484,['UBE2T'],['HGNC:25009'],N,1,1.0,1.0,,,[0.5119047619047619],[113.0],[],[],
UBE2Q2,HGNC:19248,['UBE2T'],['HGNC:25009'],N,1,1.0,1.0,,,[0.5942028985507246],[64.0],[],[],
UBE2QL1,HGNC:37269,['UBE2T'],['HGNC:25009'],N,1,1.0,1.0,,,[0.6086956521739131],[55.0],[],[],
UBE2R2,HGNC:19907,['UBE2T'],['HGNC:25009'],N,1,1.0,1.0,,,[0.6521739130434783],[46.0],[],[],
UBE2W,HGNC:25616,['UBE2T'],['HGNC:25009'],N,1,1.0,1.0,,,[0.6344086021505376],[48.0],[],[],
UBOX5,HGNC:17777,['FANCL'],['HGNC:20748'],N,1,1.0,1.0,,,[0.5079365079365079],[119.0],[],[],
ZFP42,HGNC:30949,['FANCA'],['HGNC:3582'],N,1,1.0,1.0,,,[0.5095541401273885],[117.0],[],[],
