hit_id,hit_symbol,input_id,input_symbol,functional_sim_score,functional_sim_rank,num_protein_interactions
HGNC:9294,PPP1R3D,HGNC:3413,EPM2A,,,1.0
HGNC:9294,PPP1R3D,HGNC:21576,NHLRC1,0.31176470588235294,120.0,
HGNC:11280,SQSTM1,HGNC:21576,NHLRC1,0.30990415335463256,125.0,
HGNC:11280,SQSTM1,HGNC:3413,EPM2A,,,1.0
HGNC:21653,TOPORS,HGNC:21576,NHLRC1,0.33852140077821014,58.0,
HGNC:21653,TOPORS,HGNC:3413,EPM2A,,,1.0
HGNC:4699,GYG1,HGNC:21576,NHLRC1,,,1.0
HGNC:4699,GYG1,HGNC:3413,EPM2A,,,1.0
HGNC:4700,GYG2,HGNC:21576,NHLRC1,,,1.0
HGNC:4700,GYG2,HGNC:3413,EPM2A,,,1.0
HGNC:4706,GYS1,HGNC:3413,EPM2A,,,1.0
HGNC:4706,GYS1,HGNC:21576,NHLRC1,,,1.0
HGNC:4707,GYS2,HGNC:21576,NHLRC1,,,1.0
HGNC:4707,GYS2,HGNC:3413,EPM2A,,,1.0
HGNC:9293,PPP1R3C,HGNC:3413,EPM2A,,,1.0
HGNC:9293,PPP1R3C,HGNC:21576,NHLRC1,,,1.0
HGNC:13993,PRDM8,HGNC:21576,NHLRC1,,,1.0
HGNC:13993,PRDM8,HGNC:3413,EPM2A,,,1.0
HGNC:10417,RPS27A,HGNC:21576,NHLRC1,,,1.0
HGNC:10417,RPS27A,HGNC:3413,EPM2A,,,1.0
HGNC:11427,STUB1,HGNC:3413,EPM2A,,,1.0
HGNC:11427,STUB1,HGNC:21576,NHLRC1,,,1.0
HGNC:12458,UBA52,HGNC:21576,NHLRC1,,,1.0
HGNC:12458,UBA52,HGNC:3413,EPM2A,,,1.0
HGNC:12463,UBB,HGNC:21576,NHLRC1,,,1.0
HGNC:12463,UBB,HGNC:3413,EPM2A,,,1.0
HGNC:12468,UBC,HGNC:21576,NHLRC1,,,1.0
HGNC:12468,UBC,HGNC:3413,EPM2A,,,1.0
HGNC:12492,UBE2N,HGNC:21576,NHLRC1,,,1.0
HGNC:12492,UBE2N,HGNC:3413,EPM2A,,,1.0
HGNC:321,AGL,HGNC:21576,NHLRC1,,,1.0
HGNC:646,ARAF,HGNC:21576,NHLRC1,0.37566137566137564,16.0,
HGNC:28087,ARRDC4,HGNC:21576,NHLRC1,0.36,33.0,
HGNC:20315,ATG10,HGNC:21576,NHLRC1,0.375,17.0,
HGNC:938,BAG2,HGNC:21576,NHLRC1,0.3023255813953488,151.0,
HGNC:1097,BRAF,HGNC:21576,NHLRC1,0.30701754385964913,133.0,
HGNC:21701,BRAT1,HGNC:21576,NHLRC1,0.3128834355828221,117.0,
HGNC:14325,C1QTNF2,HGNC:21576,NHLRC1,0.3374485596707819,59.0,
HGNC:23727,CACUL1,HGNC:21576,NHLRC1,0.42592592592592593,2.0,
HGNC:1470,CAMKK2,HGNC:21576,NHLRC1,0.31896551724137934,102.0,
HGNC:16446,CARD14,HGNC:21576,NHLRC1,0.3023255813953488,151.0,
HGNC:15961,CBLC,HGNC:21576,NHLRC1,0.32407407407407407,94.0,
HGNC:1581,CCNC,HGNC:21576,NHLRC1,0.33707865168539325,62.0,
HGNC:20569,CCNL1,HGNC:21576,NHLRC1,0.32432432432432434,92.0,
HGNC:20570,CCNL2,HGNC:21576,NHLRC1,0.3357142857142857,65.0,
HGNC:28434,CCNQ,HGNC:21576,NHLRC1,0.3357142857142857,65.0,
HGNC:23354,CCNY,HGNC:21576,NHLRC1,0.30526315789473685,138.0,
HGNC:1719,CDC14B,HGNC:21576,NHLRC1,0.3048128342245989,143.0,
HGNC:24222,CDC20B,HGNC:21576,NHLRC1,0.3493150684931507,47.0,
HGNC:14002,CDK2AP1,HGNC:21576,NHLRC1,0.3202614379084967,100.0,
HGNC:20455,CHFR,HGNC:21576,NHLRC1,0.37640449438202245,13.0,
HGNC:1984,CISH,HGNC:21576,NHLRC1,0.3333333333333333,71.0,
HGNC:19083,CKS1B,HGNC:21576,NHLRC1,0.36363636363636365,27.0,
HGNC:2000,CKS2,HGNC:21576,NHLRC1,0.30434782608695654,144.0,
HGNC:19715,CLSPN,HGNC:21576,NHLRC1,0.3087557603686636,130.0,
HGNC:25220,CNPPD1,HGNC:21576,NHLRC1,0.32867132867132864,78.0,
HGNC:23024,COMMD1,HGNC:21576,NHLRC1,0.3278008298755187,82.0,
HGNC:17440,COP1,HGNC:21576,NHLRC1,0.3935483870967742,5.0,
HGNC:24335,COPS8,HGNC:21576,NHLRC1,0.3209302325581395,98.0,
HGNC:2267,COX5A,HGNC:3413,EPM2A,,,1.0
HGNC:2684,DAZAP2,HGNC:21576,NHLRC1,0.345679012345679,53.0,
HGNC:17364,DBF4,HGNC:21576,NHLRC1,0.3575418994413408,36.0,
HGNC:15881,DBNDD2,HGNC:21576,NHLRC1,0.31543624161073824,111.0,
HGNC:28454,DERL1,HGNC:21576,NHLRC1,0.35353535353535354,41.0,
HGNC:25477,DET1,HGNC:21576,NHLRC1,0.32098765432098764,97.0,
HGNC:2849,DGKA,HGNC:21576,NHLRC1,0.3282051282051282,80.0,
HGNC:2850,DGKB,HGNC:21576,NHLRC1,0.30049261083743845,157.0,
HGNC:2852,DGKE,HGNC:21576,NHLRC1,0.3333333333333333,71.0,
HGNC:2853,DGKG,HGNC:21576,NHLRC1,0.3177083333333333,104.0,
HGNC:2854,DGKH,HGNC:21576,NHLRC1,0.324468085106383,90.0,
HGNC:32395,DGKK,HGNC:21576,NHLRC1,0.33516483516483514,69.0,
HGNC:2857,DGKZ,HGNC:21576,NHLRC1,0.3142857142857143,113.0,
HGNC:687,DIRAS3,HGNC:21576,NHLRC1,0.3333333333333333,71.0,
HGNC:24637,DNAJC10,HGNC:21576,NHLRC1,0.30256410256410254,149.0,
HGNC:2989,DOCK3,HGNC:21576,NHLRC1,0.3431952662721893,56.0,
HGNC:26594,DOK7,HGNC:21576,NHLRC1,0.3684210526315789,23.0,
HGNC:3066,DUSP11,HGNC:3413,EPM2A,,,1.0
HGNC:3069,DUSP3,HGNC:3413,EPM2A,,,1.0
HGNC:3071,DUSP5,HGNC:21576,NHLRC1,0.327683615819209,83.0,
HGNC:3086,DVL2,HGNC:21576,NHLRC1,,,1.0
HGNC:26808,DYNAP,HGNC:21576,NHLRC1,0.3493975903614458,46.0,
HGNC:3093,DYRK2,HGNC:21576,NHLRC1,0.30493273542600896,141.0,
HGNC:18967,EDEM1,HGNC:21576,NHLRC1,0.30493273542600896,141.0,
HGNC:15877,EDEM2,HGNC:21576,NHLRC1,0.3101851851851852,124.0,
HGNC:3257,EIF2B1,HGNC:3413,EPM2A,,,1.0
HGNC:3413,EPM2A,HGNC:21576,NHLRC1,,,1.0
HGNC:19735,EPM2AIP1,HGNC:3413,EPM2A,,,1.0
HGNC:13799,ERP29,HGNC:21576,NHLRC1,0.3141592920353982,114.0,
HGNC:24648,ETAA1,HGNC:21576,NHLRC1,0.34574468085106386,52.0,
HGNC:3578,FAF1,HGNC:21576,NHLRC1,0.3333333333333333,71.0,
HGNC:23015,FAM20A,HGNC:21576,NHLRC1,0.30319148936170215,148.0,
HGNC:25568,FANCI,HGNC:21576,NHLRC1,0.31756756756756754,106.0,
HGNC:13602,FBXL5,HGNC:21576,NHLRC1,0.3836477987421384,8.0,
HGNC:13581,FBXO2,HGNC:21576,NHLRC1,0.363013698630137,29.0,
HGNC:13593,FBXO22,HGNC:21576,NHLRC1,0.31683168316831684,109.0,
HGNC:15600,FBXO30,HGNC:3413,EPM2A,,,1.0
HGNC:13583,FBXO4,HGNC:21576,NHLRC1,0.35390946502057613,40.0,
HGNC:25917,FIZ1,HGNC:21576,NHLRC1,0.31213872832369943,119.0,
HGNC:4405,GNG3,HGNC:21576,NHLRC1,0.30526315789473685,138.0,
HGNC:13309,GPRC5C,HGNC:21576,NHLRC1,0.37583892617449666,14.0,
HGNC:13310,GPRC5D,HGNC:21576,NHLRC1,0.37583892617449666,14.0,
HGNC:4617,GSK3B,HGNC:3413,EPM2A,,,1.0
HGNC:24368,HERC5,HGNC:21576,NHLRC1,0.3089887640449438,129.0,
HGNC:24953,HEXIM1,HGNC:3413,EPM2A,,,1.0
HGNC:5003,HMGXB4,HGNC:3413,EPM2A,,,1.0
HGNC:5253,HSP90AA1,HGNC:21576,NHLRC1,,,1.0
HGNC:5237,HSPA4,HGNC:21576,NHLRC1,,,1.0
HGNC:24989,HSPBP1,HGNC:21576,NHLRC1,0.3860759493670886,6.0,
HGNC:6201,JTB,HGNC:21576,NHLRC1,0.345679012345679,53.0,
HGNC:25732,KLHL25,HGNC:21576,NHLRC1,0.31333333333333335,116.0,
HGNC:30372,KLHL40,HGNC:21576,NHLRC1,0.32,101.0,
HGNC:29252,KLHL42,HGNC:21576,NHLRC1,0.3161764705882353,110.0,
HGNC:6465,KSR1,HGNC:21576,NHLRC1,0.3177083333333333,104.0,
HGNC:6529,LCP2,HGNC:21576,NHLRC1,0.32460732984293195,89.0,
HGNC:6800,MAGEA2,HGNC:21576,NHLRC1,0.3349282296650718,70.0,
HGNC:13574,MAGEC2,HGNC:21576,NHLRC1,0.4244604316546763,3.0,
HGNC:6858,MAP3K6,HGNC:21576,NHLRC1,0.3054187192118227,136.0,
HGNC:6865,MAP4K3,HGNC:21576,NHLRC1,0.3096446700507614,127.0,
HGNC:6867,MAP4K5,HGNC:21576,NHLRC1,0.30049261083743845,157.0,
HGNC:48338,MICOS10-NBL1,HGNC:21576,NHLRC1,,,1.0
HGNC:24825,MLST8,HGNC:21576,NHLRC1,0.3137254901960784,115.0,
HGNC:7153,MMD,HGNC:21576,NHLRC1,0.34705882352941175,49.0,
HGNC:29801,MOB1B,HGNC:21576,NHLRC1,0.3684210526315789,23.0,
HGNC:7380,MST1,HGNC:21576,NHLRC1,0.3181818181818182,103.0,
HGNC:7410,MTA1,HGNC:21576,NHLRC1,0.3037974683544304,145.0,
HGNC:7423,MTCP1,HGNC:21576,NHLRC1,0.35,44.0,
HGNC:7525,MUSK,HGNC:21576,NHLRC1,0.3253588516746411,88.0,
HGNC:18592,NEK10,HGNC:21576,NHLRC1,0.3125,118.0,
HGNC:16287,NFU1,HGNC:3413,EPM2A,,,1.0
HGNC:21576,NHLRC1,HGNC:3413,EPM2A,,,1.0
HGNC:17046,NKD2,HGNC:21576,NHLRC1,0.32547169811320753,87.0,
HGNC:7860,NNAT,HGNC:21576,NHLRC1,,,1.0
HGNC:17623,NUB1,HGNC:21576,NHLRC1,0.32727272727272727,84.0,
HGNC:23077,OTUB1,HGNC:3413,EPM2A,,,1.0
HGNC:17270,PASK,HGNC:21576,NHLRC1,0.3025210084033613,150.0,
HGNC:8828,PELI2,HGNC:21576,NHLRC1,0.3069306930693069,134.0,
HGNC:8930,PHKG1,HGNC:21576,NHLRC1,0.34394904458598724,55.0,
HGNC:8931,PHKG2,HGNC:21576,NHLRC1,0.36464088397790057,26.0,
HGNC:18297,PILRB,HGNC:21576,NHLRC1,0.3625,30.0,
HGNC:9021,PKM,HGNC:3413,EPM2A,,,1.0
HGNC:14942,PPP1R3B,HGNC:21576,NHLRC1,0.3370165745856354,63.0,
HGNC:14943,PPP1R3E,HGNC:21576,NHLRC1,0.31137724550898205,122.0,
HGNC:17485,PPP2R3C,HGNC:21576,NHLRC1,0.33519553072625696,67.0,
HGNC:9309,PPP2R5A,HGNC:21576,NHLRC1,0.3791208791208791,10.0,
HGNC:9376,PRKAA1,HGNC:3413,EPM2A,,,1.0
HGNC:9377,PRKAA2,HGNC:3413,EPM2A,,,1.0
HGNC:9379,PRKAB2,HGNC:3413,EPM2A,,,1.0
HGNC:9387,PRKAG3,HGNC:21576,NHLRC1,0.3168724279835391,108.0,
HGNC:9408,PRKD3,HGNC:21576,NHLRC1,0.37209302325581395,20.0,
HGNC:31682,PRR5,HGNC:21576,NHLRC1,0.35802469135802467,34.0,
HGNC:9549,PSMC3,HGNC:3413,EPM2A,,,1.0
HGNC:17609,RASSF5,HGNC:21576,NHLRC1,0.3790849673202614,11.0,
HGNC:9889,RBBP6,HGNC:21576,NHLRC1,0.3114754098360656,121.0,
HGNC:17479,RCHY1,HGNC:21576,NHLRC1,0.42857142857142855,1.0,
HGNC:17384,RNF111,HGNC:21576,NHLRC1,0.34615384615384615,51.0,
HGNC:21147,RNF122,HGNC:21576,NHLRC1,0.31756756756756754,106.0,
HGNC:21153,RNF128,HGNC:21576,NHLRC1,0.37362637362637363,19.0,
HGNC:17023,RNF139,HGNC:21576,NHLRC1,0.336322869955157,64.0,
HGNC:21578,RNF144B,HGNC:21576,NHLRC1,0.30985915492957744,126.0,
HGNC:27752,RNF180,HGNC:21576,NHLRC1,0.3656716417910448,25.0,
HGNC:26783,RNF185,HGNC:21576,NHLRC1,0.37158469945355194,21.0,
HGNC:25978,RNF186,HGNC:21576,NHLRC1,0.38513513513513514,7.0,
HGNC:27146,RNF187,HGNC:21576,NHLRC1,0.378698224852071,12.0,
HGNC:21487,RNF217,HGNC:21576,NHLRC1,0.3053435114503817,137.0,
HGNC:30206,RNFT1,HGNC:21576,NHLRC1,0.37423312883435583,18.0,
HGNC:10298,RPL10,HGNC:3413,EPM2A,,,1.0
HGNC:10372,RPLP1,HGNC:21576,NHLRC1,0.36231884057971014,31.0,
HGNC:10404,RPS2,HGNC:21576,NHLRC1,0.32710280373831774,85.0,
HGNC:10437,RPS6KB2,HGNC:21576,NHLRC1,0.3016759776536313,154.0,
HGNC:17932,SERTAD1,HGNC:21576,NHLRC1,0.33519553072625696,67.0,
HGNC:26299,SH3RF2,HGNC:21576,NHLRC1,0.3065134099616858,135.0,
HGNC:24699,SH3RF3,HGNC:21576,NHLRC1,0.34705882352941175,49.0,
HGNC:29869,SHC2,HGNC:21576,NHLRC1,0.3372093023255814,61.0,
HGNC:25551,SMG8,HGNC:21576,NHLRC1,0.35526315789473684,38.0,
HGNC:19392,SOCS4,HGNC:21576,NHLRC1,0.35545023696682465,37.0,
HGNC:30613,SPDYA,HGNC:21576,NHLRC1,0.3015075376884422,155.0,
HGNC:27934,SPOPL,HGNC:21576,NHLRC1,0.33098591549295775,75.0,
HGNC:25356,SPRTN,HGNC:21576,NHLRC1,0.3374233128834356,60.0,
HGNC:30630,SPSB4,HGNC:21576,NHLRC1,0.4097222222222222,4.0,
HGNC:11306,SRPK2,HGNC:3413,EPM2A,,,1.0
HGNC:24854,STBD1,HGNC:3413,EPM2A,,,1.0
HGNC:21373,STK40,HGNC:21576,NHLRC1,0.30526315789473685,138.0,
HGNC:30172,STRADA,HGNC:21576,NHLRC1,0.328125,81.0,
HGNC:13205,STRADB,HGNC:21576,NHLRC1,0.30952380952380953,128.0,
HGNC:11125,SUMO2,HGNC:21576,NHLRC1,0.3148148148148148,112.0,
HGNC:11648,TCL1A,HGNC:21576,NHLRC1,0.36129032258064514,32.0,
HGNC:11649,TCL1B,HGNC:21576,NHLRC1,0.35,44.0,
HGNC:11700,TDG,HGNC:3413,EPM2A,,,1.0
HGNC:29099,TELO2,HGNC:21576,NHLRC1,0.32954545454545453,76.0,
HGNC:25137,TMEM129,HGNC:21576,NHLRC1,0.3419354838709677,57.0,
HGNC:1239,TMEM59,HGNC:21576,NHLRC1,0.324468085106383,90.0,
HGNC:26899,TMTC3,HGNC:21576,NHLRC1,0.35403726708074534,39.0,
HGNC:11983,TOM1L1,HGNC:21576,NHLRC1,0.3793103448275862,9.0,
HGNC:20456,TRAF7,HGNC:21576,NHLRC1,0.35294117647058826,42.0,
HGNC:30809,TRIB2,HGNC:21576,NHLRC1,0.3521739130434783,43.0,
HGNC:20316,TRPT1,HGNC:21576,NHLRC1,0.3087248322147651,131.0,
HGNC:12393,TTC3,HGNC:21576,NHLRC1,0.3106060606060606,123.0,
HGNC:15937,UBE2C,HGNC:21576,NHLRC1,0.3285024154589372,79.0,
HGNC:12474,UBE2D1,HGNC:21576,NHLRC1,,,1.0
HGNC:12476,UBE2D3,HGNC:21576,NHLRC1,,,1.0
HGNC:12477,UBE2E1,HGNC:21576,NHLRC1,,,1.0
HGNC:12483,UBE2G2,HGNC:21576,NHLRC1,0.3034188034188034,147.0,
HGNC:12484,UBE2H,HGNC:21576,NHLRC1,,,1.0
HGNC:4914,UBE2K,HGNC:21576,NHLRC1,0.3008130081300813,156.0,
HGNC:12488,UBE2L3,HGNC:21576,NHLRC1,0.32196969696969696,96.0,
HGNC:17895,UBE2S,HGNC:21576,NHLRC1,0.35789473684210527,35.0,
HGNC:12611,USP13,HGNC:21576,NHLRC1,0.30357142857142855,146.0,
HGNC:12627,USP4,HGNC:21576,NHLRC1,0.3081081081081081,132.0,
HGNC:12628,USP5,HGNC:21576,NHLRC1,0.3475609756097561,48.0,
HGNC:20482,WDFY2,HGNC:21576,NHLRC1,0.32413793103448274,93.0,
HGNC:28073,ZFAND2A,HGNC:21576,NHLRC1,0.3225806451612903,95.0,
HGNC:14983,ZFP91,HGNC:21576,NHLRC1,0.3686868686868687,22.0,
HGNC:18452,ZNRF1,HGNC:21576,NHLRC1,0.3208955223880597,99.0,
,MT-RNR1,HGNC:21576,NHLRC1,0.36363636363636365,27.0,
,FAM129A,HGNC:21576,NHLRC1,0.32941176470588235,77.0,
,MMD2,HGNC:21576,NHLRC1,0.32620320855614976,86.0,
,MARCH6,HGNC:21576,NHLRC1,0.3018867924528302,153.0,
